From Bus,To Bus,P(MW),Q(MVAR)
1,2,159.81521478488844,-46.00158609768245
1,5,75.34937680944456,1.371991526063483
2,3,76.01945918897015,-14.044400356785838
2,4,55.54024792860957,2.2189701172595035
2,5,41.24129114933635,6.168161331526418
3,4,-20.96210618575199,28.639308554183827
4,5,-58.79791056137188,20.618789727219355
6,11,8.087508832109188,7.671817803664589
6,12,8.019328816922787,3.046380092050373
6,13,18.250342144444488,9.413571093948352
7,8,6.591949208711867e-15,-11.380864788082617
7,9,27.25613329731052,14.207848189644823
9,10,4.582090390328023,0.29834852241850796
9,14,8.823605348560447,1.130563310767894
10,11,-4.42512546203098,-5.520821015098491
12,13,1.8288792689158884,1.2581293433872656
13,14,6.288995477967957,4.312160984799607
